tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-22-000793-b,Генератори автомобільні,311,0,0,0,0,4,belowThreshold,44538,3340920,cancelled,490
UA-2017-02-23-000443-a,постачання електричної  енергії,653,0,0,0,0,1,negotiation.quick,370715.56,39859805,complete,611
UA-2017-02-22-002244-c,"проміжна смичка, 36-3/3а",445,0,0,0,0,2,belowThreshold,39890,19290012,complete,540
UA-2017-02-27-000241-a,Бензин А-92,91,0,0,0,0,2,belowThreshold,30000,24808362,unsuccessful,840
UA-2017-02-24-000262-b,"бензин А-92, бензин А-95, дизельне паливо",91,0,0,0,0,3,aboveThresholdUA,1873400,1193414,unsuccessful,248
UA-2017-02-24-001688-c,Теплопостачання,93,0,0,0,0,1,negotiation.quick,190000,40108833,complete,790
UA-2017-02-24-000669-a,Друкована продукція на замовлення (друкована продукція),224,0,0,1,1,2,belowThreshold,8460,40506248,complete,490
UA-2017-02-14-000040-c,Б/Т. Тетра ФАН. Одноразова закупівля.,249,0,0,0,0,4,belowThreshold,4000,1985251,complete,490
UA-2017-02-22-000449-b,природний газ,91,0,0,0,0,3,aboveThresholdUA,398660,8734457,unsuccessful,210
UA-2017-02-17-000211-c,лікарські засоби (наркотичні та психотропні),336,0,0,0,0,5,aboveThresholdUA,132350,1987758,complete,526
UA-2017-02-08-000136-b,Канцелярські товари,301,0,0,0,0,4,belowThreshold,5000,40452816,complete,532
UA-2017-02-28-000727-a,"Послуги з ремонту і технічного обслуговування електричної техніки, апаратури та супутнього обладнання",505,0,0,0,0,3,belowThreshold,55059,1984174,unsuccessful,514
UA-2017-02-15-000011-a,М'ясо птиці,151,0,0,0,0,7,belowThreshold,62000,13802089,complete,824
UA-2017-02-14-000605-b,"«Капітальний ремонт заміна вікон у під’їздах житлового будинку за адресою: вул. І. Кудрі, 38-А» у Печерському районі міста Києва.",454,0,0,0,0,4,belowThreshold,130000,37451550,complete,10
UA-2017-02-10-000003-a,Палітурні матеріали,395,0,0,0,0,2,belowThreshold,4160,2224241,unsuccessful,10
UA-2017-02-17-000186-b,Бетономішалка,434,0,0,0,0,4,belowThreshold,5999,40740607,complete,300
UA-2017-02-15-000056-b,"Роликоопори РВЛ-80, РВЛ-100",436,0,0,0,0,5,aboveThresholdUA,2750100,32359108,complete,931
UA-2017-02-22-000670-b,Теплова енергія,93,0,0,0,0,1,negotiation,423909,4059504,complete,644
UA-2017-02-09-000011-c,Електрична енергія,93,0,0,0,0,1,negotiation.quick,471650,4338339,complete,520
UA-2017-02-02-002582-b,Постачання електричної енергії,653,0,0,0,0,2,negotiation.quick,997160.81,2003617,cancelled,610
UA-2017-02-03-001615-b,Брикети торфові,91,0,0,0,0,3,belowThreshold,80000,20140754,complete,451
UA-2017-02-06-001988-b,Оброблені продукти харчування (набори готових продуктів - готові страви в реторт-пакетах) для ІТТ,158,0,0,0,0,2,belowThreshold,175644,40108630,unsuccessful,360
UA-2017-02-01-001820-b,50750000-7 «Технічне обслуговування та поточний ремонт ліфтів»,507,0,0,0,0,1,belowThreshold,50900,2007265,complete,490
UA-2017-02-22-000806-b,Олія,154,0,0,0,0,2,belowThreshold,40110,2141437,complete,222
UA-2017-02-01-000963-b,Продуктовий набір,158,0,0,0,0,5,belowThreshold,4000,20275978,unsuccessful,490
UA-2017-02-27-000367-b,"Демонтаж, монтаж, ремонт  та повірка лічильника теплової енергії «Ергомера -125"" Ду- 50, коригування та узгодження робочого проекту, поточний ремонт системи  опалення по Шевченківському  НВК",504,0,0,0,0,8,belowThreshold,30000,2142402,complete,526
UA-2017-02-03-001214-b,Дизельне паливо,91,0,0,0,0,1,belowThreshold,140000,8680566,complete,556
UA-2017-02-02-002575-b,Лікарські засоби,336,0,0,0,0,5,aboveThresholdUA,234000,37271416,complete,443
UA-2017-02-27-000220-b,"Класні, реєстраційні журнали, табелі",228,0,0,1,1,3,belowThreshold,18100,2144163,complete,283
UA-2017-02-21-000375-b,"Магістралі, трубопроводи, труби, обсадні труби, тюбінги та супутні вироби",441,0,0,1,1,7,aboveThresholdUA,3800000,38078094,complete,20
UA-2017-02-02-000021-c,послуги по заправці і відновленню картриджів лазерних принтерів,503,0,0,0,0,3,belowThreshold,170000,32112,complete,31
UA-2017-02-16-000175-b,медичні розчини,336,0,0,0,0,3,aboveThresholdUA,2105000,2774384,complete,290
